service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170513,20170719
2,0,1,1,1,1,1,0,20170514,20170521
3,0,0,0,0,0,1,0,20170513,20170719
4,0,0,0,0,0,0,1,20170514,20170521
5,0,0,0,0,0,0,1,20170513,20170719
6,1,0,0,0,0,0,0,20170514,20170521
7,0,0,0,0,0,1,0,20170513,20170519
8,0,0,0,0,0,0,1,20170514,20170719
9,0,0,0,0,0,1,0,20170520,20170719
10,0,0,0,0,0,0,1,20170521,20170521
11,1,1,1,1,0,0,0,20170513,20170719
12,0,1,1,1,1,0,0,20170514,20170521
13,0,0,0,0,1,0,0,20170513,20170719
14,0,0,0,0,0,1,0,20170514,20170521
15,1,1,1,1,1,1,1,20170513,20170719
16,1,1,1,1,0,0,0,20170513,20170517
17,0,1,1,1,1,0,0,20170514,20170518
18,1,1,1,1,0,0,0,20170518,20170719
19,0,1,1,1,1,0,0,20170519,20170521
20,1,1,1,1,1,0,0,20170513,20170515
21,0,1,1,1,1,1,0,20170514,20170516
22,1,1,1,1,1,0,0,20170516,20170516
23,0,1,1,1,1,1,0,20170517,20170517
24,1,1,1,1,1,0,0,20170517,20170719
25,0,1,1,1,1,1,0,20170518,20170521
26,0,0,0,0,0,1,1,20170513,20170719
27,1,0,0,0,0,0,1,20170514,20170521
28,1,1,1,1,1,0,0,20170513,20170518
29,0,1,1,1,1,1,0,20170514,20170519
30,1,1,1,1,1,0,0,20170519,20170719
31,0,1,1,1,1,1,0,20170520,20170521
32,1,1,1,1,1,0,0,20170513,20170516
33,0,1,1,1,1,1,0,20170514,20170517
34,1,1,1,1,1,0,0,20170517,20170517
35,0,1,1,1,1,1,0,20170518,20170518
36,1,1,1,1,1,0,0,20170518,20170719
37,0,1,1,1,1,1,0,20170519,20170521
38,0,0,0,0,0,0,1,20170514,20170517
39,0,0,0,0,0,1,0,20170513,20170516
40,0,0,0,0,0,0,1,20170518,20170521
41,0,0,0,0,0,1,0,20170517,20170719
42,1,0,0,0,0,0,0,20170514,20170517
43,0,0,0,0,0,0,1,20170513,20170516
44,0,0,0,0,0,1,0,20170513,20170513
45,0,0,0,0,0,0,1,20170514,20170514
46,1,1,1,1,1,0,0,20170516,20170719
47,0,1,1,1,1,1,0,20170517,20170521
48,0,0,0,0,0,1,0,20170513,20170515
49,0,0,0,0,0,0,1,20170514,20170516
50,0,0,0,0,0,1,0,20170516,20170719
51,0,0,0,0,0,0,1,20170517,20170521
52,0,0,0,0,0,0,1,20170513,20170515
53,1,0,0,0,0,0,0,20170514,20170516
54,1,1,1,1,1,0,0,20170513,20170517
55,0,1,1,1,1,1,0,20170514,20170518
56,0,0,0,0,0,1,0,20170513,20170517
57,0,0,0,0,0,0,1,20170514,20170518
58,0,0,0,0,0,1,0,20170518,20170719
59,0,0,0,0,0,0,1,20170519,20170521
60,0,0,0,0,0,0,1,20170513,20170517
61,1,0,0,0,0,0,0,20170514,20170518
62,0,1,1,1,1,1,0,20170519,20170519
63,0,0,0,0,0,1,1,20170513,20170519
64,0,0,0,0,0,1,1,20170520,20170719
65,0,0,0,0,0,1,1,20170513,20170513
66,0,0,0,0,0,1,1,20170514,20170719
67,0,0,0,0,0,1,1,20170513,20170514
68,0,0,0,0,0,1,1,20170515,20170719
69,0,1,1,1,1,0,0,20170513,20170719
70,1,0,0,0,0,0,0,20170513,20170719
